Momento,Modulo,Massa,Energia,Combustivel,Prioridade,Resultado
18/04/2026 13:59:14,Energia Solar,22,25,40,Alta,Energia Solar → Pouso autorizado ⚠️ (forçado pela prioridade)
18/04/2026 13:59:14,Habitação 4,31,20,62,Alta,Habitação 4 → Pouso autorizado ⚠️ (forçado pela prioridade)
18/04/2026 13:59:14,Habitação 3,29,20,50,Alta,Habitação 3 → Pouso autorizado ⚠️ (forçado pela prioridade)
18/04/2026 13:59:14,Rover de Exploração,12,10,80,Média,Rover de Exploração → Pouso negado ❌
18/04/2026 13:59:14,Estação de Comunicações,20,12,22,Alta,Estação de Comunicações → Pouso autorizado ⚠️ (forçado pela prioridade)
18/04/2026 14:00:05,Habitação 2,32,20,18,Alta,Habitação 2 → Pouso negado ❌
18/04/2026 14:00:05,Habitação 2,32,20,18,Alta,Habitação 2 → Pouso negado ❌
18/04/2026 14:00:05,Habitação 3,29,20,50,Alta,Habitação 3 → Pouso autorizado ⚠️ (forçado pela prioridade)
18/04/2026 14:00:05,Armazém de Suprimentos,33,18,75,Média,Armazém de Suprimentos → Pouso negado ❌
18/04/2026 14:00:05,Módulo de Mineração,40,25,30,Baixa,Módulo de Mineração → Pouso negado ❌
18/04/2026 14:00:05,Estação de Comunicações,20,12,22,Alta,Estação de Comunicações → Pouso autorizado ⚠️ (forçado pela prioridade)
18/04/2026 14:00:05,Habitação 3,29,20,50,Alta,Habitação 3 → Pouso autorizado ⚠️ (forçado pela prioridade)
18/04/2026 14:00:05,Habitação 1,28,20,65,Alta,Habitação 1 → Pouso autorizado ⚠️ (forçado pela prioridade)
